length & time & left_node & right_node\\ \hline
4 & 0.0 & 9 & 5\\ \hline
5 & 0.0 & 11 & 5\\ \hline
6 & 0.0 & 7 & 3\\ \hline
7 & 0.00 & 16 & 8\\ \hline
8 & 0.0 & 22 & 9\\ \hline
9 & 0.0 & 34 & 17\\ \hline
10 & 0.00 & 36 & 17\\ \hline
11 & 0.00 & 57 & 25\\ \hline
12 & 0.00 & 96 & 40\\ \hline
13 & 0.00 & 119 & 47\\ \hline
14 & 0.00 & 213 & 83\\ \hline
15 & 0.00 & 256 & 96\\ \hline
16 & 0.01 & 436 & 155\\ \hline
17 & 0.01 & 617 & 216\\ \hline
18 & 0.02 & 953 & 304\\ \hline
19 & 0.04 & 1275 & 401\\ \hline
20 & 0.07 & 1957 & 581\\ \hline
21 & 0.11 & 2635 & 763\\ \hline
22 & 0.16 & 3842 & 1061\\ \hline
23 & 0.22 & 5167 & 1402\\ \hline
24 & 0.34 & 7430 & 1942\\ \hline
25 & 0.50 & 9896 & 2546\\ \hline
26 & 0.73 & 13928 & 3456\\ \hline
27 & 1.02 & 18421 & 4508\\ \hline
28 & 1.48 & 25445 & 6054\\ \hline
29 & 2.07 & 33670 & 7917\\ \hline
30 & 3.04 & 45820 & 10522\\ \hline
31 & 4.18 & 60439 & 13702\\ \hline
32 & 6.18 & 80944 & 18003\\ \hline
33 & 8.65 & 106385 & 23372\\ \hline
34 & 11.36 & 140699 & 30379\\ \hline
35 & 15.15 & 183948 & 39265\\ \hline
36 & 20.78 & 241464 & 50759\\ \hline
37 & 28.42 & 313963 & 65259\\ \hline
38 & 38.68 & 409244 & 83939\\ \hline
39 & 52.31 & 529291 & 107362\\ \hline
40 & 71.01 & 685317 & 137291\\ \hline
41 & 97.02 & 882347 & 174916\\ \hline
42 & 129.72 & 1135756 & 222573\\ \hline
43 & 172.50 & 1455253 & 282308\\ \hline
44 & 230.06 & 1864274 & 357832\\ \hline
45 & 305.91 & 2378531 & 452072\\ \hline
46 & 405.76 & 3031968 & 570444\\ \hline
47 & 536.10 & 3853219 & 718202\\ \hline
48 & 707.37 & 4891098 & 902851\\ \hline
49 & 930.19 & 6191146 & 1132524\\ \hline
50 & 1219.64 & 7828532 & 1418867\\ \hline
51 & 1597.32 & 9873400 & 1773823\\ \hline
52 & 2079.01 & 12437109 & 2214530\\ \hline
53 & 2719.68 & 15632837 & 2759922\\ \hline
54 & 3530.88 & 19623639 & 3434831\\ \hline
55 & 4581.00 & 24584029 & 4267453\\ \hline
56 & 5926.90 & 30759481 & 5295222\\ \hline
57 & 8274.98 & 38415118 & 6559902\\ \hline
58 & 11022.62 & 47913880 & 8116178\\ \hline
59 & 13444.17 & 59661929 & 10027059\\ \hline
60 & 18485.15 & 74194971 & 12372128\\ \hline
