length & time & left_node & right_node\\ \hline
4 & 0.0 & 9 & 5\\ \hline
5 & 0.0 & 11 & 5\\ \hline
6 & 0.0 & 7 & 3\\ \hline
7 & 0.0 & 16 & 8\\ \hline
8 & 0.0 & 22 & 9\\ \hline
9 & 0.00 & 34 & 17\\ \hline
10 & 0.0 & 37 & 17\\ \hline
11 & 0.00 & 70 & 29\\ \hline
12 & 0.00 & 101 & 41\\ \hline
13 & 0.00 & 140 & 54\\ \hline
14 & 0.00 & 244 & 93\\ \hline
15 & 0.00 & 328 & 121\\ \hline
16 & 0.01 & 484 & 167\\ \hline
17 & 0.02 & 738 & 243\\ \hline
18 & 0.03 & 1050 & 328\\ \hline
19 & 0.04 & 1483 & 446\\ \hline
20 & 0.07 & 2131 & 618\\ \hline
21 & 0.11 & 2974 & 831\\ \hline
22 & 0.16 & 4144 & 1128\\ \hline
23 & 0.24 & 5732 & 1519\\ \hline
24 & 0.36 & 7889 & 2035\\ \hline
25 & 0.52 & 10773 & 2714\\ \hline
26 & 0.75 & 14734 & 3631\\ \hline
27 & 1.08 & 19846 & 4788\\ \hline
28 & 1.52 & 26691 & 6316\\ \hline
29 & 2.15 & 35784 & 8333\\ \hline
30 & 3.02 & 47670 & 10900\\ \hline
31 & 4.29 & 63220 & 14231\\ \hline
32 & 6.41 & 83717 & 18574\\ \hline
33 & 8.53 & 110323 & 24132\\ \hline
34 & 11.76 & 144847 & 31236\\ \hline
35 & 16.29 & 189611 & 40376\\ \hline
36 & 21.38 & 247575 & 52033\\ \hline
37 & 29.10 & 322116 & 66897\\ \hline
38 & 39.60 & 418243 & 85855\\ \hline
39 & 53.47 & 541192 & 109822\\ \hline
40 & 71.90 & 698675 & 140171\\ \hline
41 & 96.71 & 899744 & 178591\\ \hline
42 & 132.08 & 1155855 & 226969\\ \hline
43 & 176.71 & 1481255 & 287881\\ \hline
44 & 233.94 & 1894471 & 364467\\ \hline
45 & 308.83 & 2417306 & 460442\\ \hline
46 & 408.71 & 3078103 & 580570\\ \hline
47 & 540.34 & 3911499 & 730786\\ \hline
48 & 713.29 & 4961035 & 918104\\ \hline
49 & 936.20 & 6279679 & 1151475\\ \hline
50 & 1230.69 & 7934795 & 1441804\\ \hline
