length,time,left_node,right_node
4,0.0,9,5
5,0.0,11,5
6,0.0,7,3
7,0.0010027885437011719,16,8
8,0.0,22,9
9,0.0010030269622802734,34,17
10,0.0009980201721191406,36,17
11,0.0019998550415039062,57,25
12,0.0039997100830078125,96,40
13,0.005000591278076172,119,47
14,0.010001420974731445,213,83
15,0.013001680374145508,256,96
16,0.026003122329711914,436,155
17,0.045377492904663086,617,216
18,0.06651735305786133,953,304
19,0.09186053276062012,1275,401
20,0.15191149711608887,1957,581
21,0.21914958953857422,2635,763
22,0.3373706340789795,3842,1061
23,0.49092888832092285,5167,1402
24,0.8003051280975342,7430,1942
25,1.0702548027038574,9896,2546
26,1.5490565299987793,13928,3456
27,2.2081918716430664,18421,4508
28,3.3150668144226074,25445,6054
29,4.676533222198486,33670,7917
