length,time,left_node,right_node
4,0.0,9,5
5,0.0,11,5
6,0.0,7,3
7,0.0,16,8
8,0.0,22,9
9,0.0010006427764892578,34,17
10,0.0,37,17
11,0.0015027523040771484,70,29
12,0.002003192901611328,101,41
13,0.0029997825622558594,140,54
14,0.0050029754638671875,244,93
15,0.008508443832397461,328,121
16,0.01300048828125,484,167
17,0.02187180519104004,738,243
18,0.03201746940612793,1050,328
19,0.0485231876373291,1483,446
20,0.0750420093536377,2131,618
21,0.11299967765808105,2974,831
22,0.16735267639160156,4144,1128
23,0.24420809745788574,5732,1519
24,0.3610343933105469,7889,2035
25,0.5239901542663574,10773,2714
26,0.7591743469238281,14734,3631
27,1.0868351459503174,19846,4788
28,1.522716760635376,26691,6316
29,2.154705762863159,35784,8333
30,3.029222249984741,47670,10900
31,4.295656442642212,63220,14231
32,6.41417121887207,83717,18574
33,8.533012866973877,110323,24132
34,11.762194871902466,144847,31236
35,16.290770530700684,189611,40376
36,21.38633680343628,247575,52033
37,29.100882530212402,322116,66897
38,39.60025596618652,418243,85855
39,53.472413539886475,541192,109822
40,71.90464043617249,698675,140171
41,96.71985840797424,899744,178591
42,132.08802247047424,1155855,226969
43,176.71102619171143,1481255,287881
44,233.94076824188232,1894471,364467
45,308.8350820541382,2417306,460442
46,408.7195065021515,3078103,580570
47,540.349202632904,3911499,730786
48,713.2959854602814,4961035,918104
49,936.2088503837585,6279679,1151475
50,1230.6930882930756,7934795,1441804
